plate,brand,model,projectId,projectName,workshopName,technicianName,priority,status,category,description,symptoms,reportedAt,assignedAt,acceptedAt,startedAt,completedAt,dueDate,locationLabel,cost
"ผฏ-8749","Isuzu","D-Max","165","จุดบริการลูกค้า 65","อู่ช่างวิทย์ปทุม","ช่างวิทย์","high","completed","ระบบเครื่องยนต์","ซ่อมระบบเครื่องยนต์","มีปัญหาระบบเครื่องยนต์","2026-05-18T00:00:00Z","2026-05-18T00:19:00Z","2026-05-18T00:33:00Z","2026-05-18T00:47:00Z","2026-05-18T10:59:00Z","2026-05-19T00:47:00Z","ลาน 1","4200"
"ฌบ-9524","Honda","Civic","166","จุดบริการลูกค้า 66","อู่ใหญ่บางซื่อ","ช่างสมปอง","high","completed","ระบบช่วงล่าง","ซ่อมระบบช่วงล่าง","มีปัญหาระบบช่วงล่าง","2026-05-12T00:00:00Z","2026-05-12T00:33:00Z","2026-05-12T00:46:00Z","2026-05-12T01:02:00Z","2026-05-12T08:52:00Z","2026-05-13T01:02:00Z","ช่อง 1","3900"
"บม-2786","Mazda","Mazda2","167","จุดบริการลูกค้า 67","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","urgent","blocked","ระบบปรับอากาศ","ซ่อมระบบปรับอากาศ","มีปัญหาระบบปรับอากาศ","2026-05-31T00:00:00Z","2026-05-31T00:11:00Z","2026-05-31T00:20:00Z","2026-05-31T00:41:00Z","","2026-06-08T00:00:00Z","ช่องด่วน",""
"รฬ-1300","Isuzu","MU-X","168","จุดบริการลูกค้า 68","อู่ใหญ่บางซื่อ","ช่างสมชาย","urgent","completed","ระบบปรับอากาศ","ซ่อมระบบปรับอากาศ","มีปัญหาระบบปรับอากาศ","2026-05-20T00:00:00Z","2026-05-20T00:11:00Z","2026-05-20T00:23:00Z","2026-05-20T00:43:00Z","2026-05-23T00:43:00Z","2026-05-22T00:43:00Z","ช่อง 4","1800"
"ฌฆ-1032","Mazda","BT-50","169","จุดบริการลูกค้า 69","อู่ช่างวิทย์ปทุม","ช่างวิทย์","normal","completed","บำรุงรักษาทั่วไป","ซ่อมบำรุงรักษาทั่วไป","มีปัญหาบำรุงรักษาทั่วไป","2026-05-25T00:00:00Z","2026-05-25T00:28:00Z","2026-05-25T00:43:00Z","2026-05-25T00:59:00Z","2026-05-29T00:59:00Z","2026-05-27T00:59:00Z","ช่องด่วน","3500"
"ลพ-1094","Isuzu","MU-X","170","จุดบริการลูกค้า 70","อู่ช่างนิวรังสิต","ช่างนิว","high","completed","ระบบเบรก","ซ่อมระบบเบรก","มีปัญหาระบบเบรก","2026-05-15T00:00:00Z","2026-05-15T00:38:00Z","2026-05-15T00:44:00Z","2026-05-15T00:54:00Z","2026-05-15T11:06:00Z","2026-05-16T00:54:00Z","ช่อง 1","7200"
"ฌด-4757","Honda","CR-V","171","จุดบริการลูกค้า 71","อู่ช่างวิทย์ปทุม","ช่างวิทย์","high","completed","ระบบเบรก","ซ่อมระบบเบรก","มีปัญหาระบบเบรก","2026-05-26T00:00:00Z","2026-05-26T00:24:00Z","2026-05-26T00:39:00Z","2026-05-26T00:51:00Z","2026-05-27T09:36:00Z","2026-05-29T00:51:00Z","ห้องเครื่อง","8600"
"ธก-8141","Isuzu","MU-X","172","จุดบริการลูกค้า 72","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","normal","in_progress","บำรุงรักษาทั่วไป","ซ่อมบำรุงรักษาทั่วไป","มีปัญหาบำรุงรักษาทั่วไป","2026-05-13T00:00:00Z","2026-05-13T00:40:00Z","2026-05-13T00:49:00Z","2026-05-13T01:03:00Z","","2026-06-07T00:00:00Z","ลานจอด",""
"ฬด-2590","Ford","Ranger","173","จุดบริการลูกค้า 73","อู่ใหญ่บางซื่อ","ช่างสมชาย","high","completed","ระบบเกียร์","ซ่อมระบบเกียร์","มีปัญหาระบบเกียร์","2026-05-21T00:00:00Z","2026-05-21T00:43:00Z","2026-05-21T00:51:00Z","2026-05-21T01:19:00Z","2026-05-21T16:02:00Z","2026-05-25T01:19:00Z","ช่อง 1","7900"
"ฮห-1088","Mitsubishi","Triton","174","จุดบริการลูกค้า 74","อู่ช่างนิวรังสิต","ช่างนิว","normal","assigned","ระบบเบรก","ซ่อมระบบเบรก","มีปัญหาระบบเบรก","2026-05-31T00:00:00Z","2026-05-31T00:24:00Z","","","","2026-06-05T00:49:00Z","ลาน 1",""
"รก-5716","Honda","Civic","175","จุดบริการลูกค้า 75","อู่ช่างนิวรังสิต","ช่างนิว","urgent","reported","บำรุงรักษาทั่วไป","ซ่อมบำรุงรักษาทั่วไป","มีปัญหาบำรุงรักษาทั่วไป","2026-05-10T00:00:00Z","","","","","2026-05-12T00:49:00Z","ลานจอด",""
"ธฒ-7316","Ford","Ranger","176","จุดบริการลูกค้า 76","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","high","assigned","ระบบปรับอากาศ","ซ่อมระบบปรับอากาศ","มีปัญหาระบบปรับอากาศ","2026-06-03T00:00:00Z","2026-06-03T00:13:00Z","","","","2026-06-07T00:37:00Z","ลาน 1",""
"หฉ-8404","Isuzu","MU-X","177","จุดบริการลูกค้า 77","อู่ช่างนิวรังสิต","ช่างนิว","normal","reported","ระบบปรับอากาศ","ซ่อมระบบปรับอากาศ","มีปัญหาระบบปรับอากาศ","2026-05-09T00:00:00Z","","","","","2026-05-13T01:07:00Z","ห้องเครื่อง",""
"ศร-9298","Honda","Civic","178","จุดบริการลูกค้า 78","อู่ช่างวิทย์ปทุม","ช่างวิทย์","urgent","completed","ระบบปรับอากาศ","ซ่อมระบบปรับอากาศ","มีปัญหาระบบปรับอากาศ","2026-05-17T00:00:00Z","2026-05-17T00:21:00Z","2026-05-17T00:27:00Z","2026-05-17T00:38:00Z","2026-05-20T00:38:00Z","2026-05-19T00:38:00Z","ช่อง 4","8500"
"ณบ-4578","Ford","Ranger","179","จุดบริการลูกค้า 79","อู่ช่างนิวรังสิต","ช่างนิว","high","completed","ระบบปรับอากาศ","ซ่อมระบบปรับอากาศ","มีปัญหาระบบปรับอากาศ","2026-05-12T00:00:00Z","2026-05-12T00:50:00Z","2026-05-12T01:03:00Z","2026-05-12T01:17:00Z","2026-05-13T17:52:00Z","2026-05-16T01:17:00Z","ช่อง 2","3900"
"หย-1546","Honda","Civic","180","จุดบริการลูกค้า 80","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","urgent","completed","ระบบไฟ","ซ่อมระบบไฟ","มีปัญหาระบบไฟ","2026-06-03T00:00:00Z","2026-06-03T00:23:00Z","2026-06-03T00:29:00Z","2026-06-03T00:51:00Z","2026-06-05T07:53:00Z","2026-06-07T00:51:00Z","ช่องด่วน","8600"
"ฝบ-8662","Nissan","Terra","181","จุดบริการลูกค้า 81","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","high","completed","ระบบไฟ","ซ่อมระบบไฟ","มีปัญหาระบบไฟ","2026-05-24T00:00:00Z","2026-05-24T00:21:00Z","2026-05-24T00:33:00Z","2026-05-24T00:56:00Z","2026-05-24T20:52:00Z","2026-05-26T00:56:00Z","ช่อง 3","8700"
"มฆ-6677","Toyota","Fortuner","182","จุดบริการลูกค้า 82","อู่ใหญ่บางซื่อ","ช่างสมปอง","high","completed","ระบบเบรก","ซ่อมระบบเบรก","มีปัญหาระบบเบรก","2026-05-26T00:00:00Z","2026-05-26T00:29:00Z","2026-05-26T00:39:00Z","2026-05-26T00:55:00Z","2026-05-29T19:12:00Z","2026-05-30T00:55:00Z","ช่องด่วน","9400"
"ถฉ-1538","Mazda","Mazda2","183","จุดบริการลูกค้า 83","อู่ใหญ่บางซื่อ","ช่างสมปอง","urgent","awaiting_qa","ระบบเครื่องยนต์","ซ่อมระบบเครื่องยนต์","มีปัญหาระบบเครื่องยนต์","2026-05-18T00:00:00Z","2026-05-18T00:15:00Z","2026-05-18T00:29:00Z","2026-05-18T00:55:00Z","","2026-06-03T00:00:00Z","ห้องเครื่อง",""
"ศด-5570","Mazda","BT-50","184","จุดบริการลูกค้า 84","อู่ช่างนิวรังสิต","ช่างนิว","normal","completed","ระบบเกียร์","ซ่อมระบบเกียร์","มีปัญหาระบบเกียร์","2026-05-26T00:00:00Z","2026-05-26T00:54:00Z","2026-05-26T01:09:00Z","2026-05-26T01:35:00Z","2026-05-26T15:46:00Z","2026-05-28T01:35:00Z","ช่องด่วน","6900"
"ดฒ-7760","Ford","Everest","185","จุดบริการลูกค้า 85","อู่ช่างวิทย์ปทุม","ช่างวิทย์","urgent","completed","ระบบเครื่องยนต์","ซ่อมระบบเครื่องยนต์","มีปัญหาระบบเครื่องยนต์","2026-05-14T00:00:00Z","2026-05-14T00:29:00Z","2026-05-14T00:44:00Z","2026-05-14T01:08:00Z","2026-05-14T04:56:00Z","2026-05-17T01:08:00Z","ช่องด่วน","2700"
"ธบ-3559","Nissan","Navara","186","จุดบริการลูกค้า 86","อู่ช่างวิทย์ปทุม","ช่างวิทย์","high","completed","ระบบปรับอากาศ","ซ่อมระบบปรับอากาศ","มีปัญหาระบบปรับอากาศ","2026-05-24T00:00:00Z","2026-05-24T00:54:00Z","2026-05-24T01:07:00Z","2026-05-24T01:35:00Z","2026-05-24T11:17:00Z","2026-05-25T01:35:00Z","ลานจอด","1300"
"กต-5033","Isuzu","D-Max","187","จุดบริการลูกค้า 87","อู่ใหญ่บางซื่อ","ช่างสมปอง","urgent","reported","ระบบปรับอากาศ","ซ่อมระบบปรับอากาศ","มีปัญหาระบบปรับอากาศ","2026-05-23T00:00:00Z","","","","","2026-05-24T00:48:00Z","ช่อง 4",""
"สต-8544","Isuzu","MU-X","188","จุดบริการลูกค้า 88","อู่ใหญ่บางซื่อ","ช่างสมชาย","urgent","completed","ระบบเกียร์","ซ่อมระบบเกียร์","มีปัญหาระบบเกียร์","2026-05-07T00:00:00Z","2026-05-07T00:40:00Z","2026-05-07T00:53:00Z","2026-05-07T01:11:00Z","2026-05-08T00:06:00Z","2026-05-11T01:11:00Z","ลานจอด","2000"
"วช-5533","Nissan","Navara","189","จุดบริการลูกค้า 89","อู่ช่างนิวรังสิต","ช่างนิว","high","reported","ระบบเกียร์","ซ่อมระบบเกียร์","มีปัญหาระบบเกียร์","2026-05-11T00:00:00Z","","","","","2026-05-14T01:19:00Z","ห้องเครื่อง",""
"ถผ-3888","Nissan","Kicks","190","จุดบริการลูกค้า 90","อู่ใหญ่บางซื่อ","ช่างสมชาย","urgent","completed","ระบบเครื่องยนต์","ซ่อมระบบเครื่องยนต์","มีปัญหาระบบเครื่องยนต์","2026-05-30T00:00:00Z","2026-05-30T00:28:00Z","2026-05-30T00:33:00Z","2026-05-30T00:44:00Z","2026-05-30T08:05:00Z","2026-06-02T00:44:00Z","ช่อง 3","4700"
"ฐภ-6171","Nissan","Terra","191","จุดบริการลูกค้า 91","อู่ช่างนิวรังสิต","ช่างนิว","high","completed","บำรุงรักษาทั่วไป","ซ่อมบำรุงรักษาทั่วไป","มีปัญหาบำรุงรักษาทั่วไป","2026-05-16T00:00:00Z","2026-05-16T00:53:00Z","2026-05-16T01:02:00Z","2026-05-16T01:25:00Z","2026-05-18T16:57:00Z","2026-05-19T01:25:00Z","ช่องด่วน","8700"
"งน-5834","Nissan","Almera","192","จุดบริการลูกค้า 92","อู่ใหญ่บางซื่อ","ช่างสมชาย","normal","completed","ระบบไฟ","ซ่อมระบบไฟ","มีปัญหาระบบไฟ","2026-05-10T00:00:00Z","2026-05-10T00:38:00Z","2026-05-10T00:46:00Z","2026-05-10T00:59:00Z","2026-05-10T04:26:00Z","2026-05-11T00:59:00Z","ลาน 1","1600"
"หย-6265","Ford","Everest","193","จุดบริการลูกค้า 93","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","high","completed","ระบบเกียร์","ซ่อมระบบเกียร์","มีปัญหาระบบเกียร์","2026-05-24T00:00:00Z","2026-05-24T00:47:00Z","2026-05-24T01:02:00Z","2026-05-24T01:13:00Z","2026-05-24T20:59:00Z","2026-05-25T01:13:00Z","ช่อง 1","2200"
"งล-2991","Mazda","Mazda2","194","จุดบริการลูกค้า 94","อู่ช่างนิวรังสิต","ช่างนิว","urgent","awaiting_qa","ระบบไฟ","ซ่อมระบบไฟ","มีปัญหาระบบไฟ","2026-05-26T00:00:00Z","2026-05-26T00:45:00Z","2026-05-26T00:57:00Z","2026-05-26T01:27:00Z","","2026-06-07T00:00:00Z","ช่อง 1",""
"ฏข-2929","Mitsubishi","Triton","195","จุดบริการลูกค้า 95","อู่ใหญ่บางซื่อ","ช่างสมปอง","normal","completed","ระบบเบรก","ซ่อมระบบเบรก","มีปัญหาระบบเบรก","2026-05-28T00:00:00Z","2026-05-28T00:48:00Z","2026-05-28T00:53:00Z","2026-05-28T01:04:00Z","2026-06-01T06:26:00Z","2026-06-02T01:04:00Z","ช่อง 3","8800"
"ฌฌ-9016","Ford","Everest","196","จุดบริการลูกค้า 96","อู่ช่างนิวรังสิต","ช่างนิว","urgent","blocked","บำรุงรักษาทั่วไป","ซ่อมบำรุงรักษาทั่วไป","มีปัญหาบำรุงรักษาทั่วไป","2026-05-12T00:00:00Z","2026-05-12T00:58:00Z","2026-05-12T01:13:00Z","2026-05-12T01:25:00Z","","2026-06-07T00:00:00Z","ช่อง 4",""
"นฒ-5865","Toyota","Fortuner","197","จุดบริการลูกค้า 97","อู่ใหญ่บางซื่อ","ช่างสมชาย","high","awaiting_qa","ระบบไฟ","ซ่อมระบบไฟ","มีปัญหาระบบไฟ","2026-06-02T00:00:00Z","2026-06-02T00:19:00Z","2026-06-02T00:27:00Z","2026-06-02T00:38:00Z","","2026-06-06T00:00:00Z","ห้องเครื่อง",""
"นก-2649","Ford","Everest","198","จุดบริการลูกค้า 98","อู่ช่างวิทย์ปทุม","ช่างวิทย์","urgent","completed","ระบบเครื่องยนต์","ซ่อมระบบเครื่องยนต์","มีปัญหาระบบเครื่องยนต์","2026-05-24T00:00:00Z","2026-05-24T00:51:00Z","2026-05-24T00:57:00Z","2026-05-24T01:08:00Z","2026-05-31T01:08:00Z","2026-05-28T01:08:00Z","ช่อง 4","6300"
"อณ-9530","Ford","Everest","199","จุดบริการลูกค้า 99","ศูนย์ฮอนด้าลาดพร้าว","ช่างเอก","normal","assigned","ระบบช่วงล่าง","ซ่อมระบบช่วงล่าง","มีปัญหาระบบช่วงล่าง","2026-05-29T00:00:00Z","2026-05-29T00:16:00Z","","","","2026-06-02T00:47:00Z","ลาน 2",""
